,country,year,coal_mw_new
745,Thailand,2006,717
746,Turkey,2006,1080
747,Ukraine,2006,0
748,United Arab Emirates,2006,0
749,United Kingdom,2006,0
750,United States,2006,574
751,Uzbekistan,2006,0
752,Venezuela,2006,0
753,Vietnam,2006,115
754,Zambia,2006,0
755,Zimbabwe,2006,0
756,Albania,2007,0
757,Argentina,2007,0
758,Australia,2007,750
759,Austria,2007,0
760,Bangladesh,2007,0
761,Belarus,2007,0
762,Belgium,2007,0
763,Bosnia and Herzegovina,2007,0
764,Botswana,2007,0
765,Brazil,2007,88
766,Brunei,2007,0
767,Bulgaria,2007,0
768,Cambodia,2007,0
769,Canada,2007,0
770,Chile,2007,0
771,China,2007,82291
772,Colombia,2007,0
773,Croatia,2007,0
774,Czech Republic,2007,0
775,Democratic Republic of Congo,2007,0
776,Denmark,2007,0
777,Dominican Republic,2007,0
778,Egypt,2007,0
779,El Salvador,2007,0
780,Ethiopia,2007,0
781,Finland,2007,0
782,France,2007,0
783,Georgia,2007,0
784,Germany,2007,0
785,Ghana,2007,0
786,Greece,2007,0
787,Guadeloupe,2007,0
788,Guatemala,2007,0
789,Guinea,2007,0
790,Honduras,2007,0
791,Hong Kong,2007,0
792,Hungary,2007,0
793,India,2007,5225
794,Indonesia,2007,180
795,Iran,2007,0
796,Ireland,2007,0
797,Israel,2007,0
798,Italy,2007,0
799,Ivory Coast,2007,0
800,Jamaica,2007,0
801,Japan,2007,650
802,Jordan,2007,0
803,Kazakhstan,2007,120
804,Kenya,2007,0
805,Kosovo,2007,0
806,Kyrgyzstan,2007,0
807,Laos,2007,0
808,Latvia,2007,0
809,Madagascar,2007,0
810,Malawi,2007,0
811,Malaysia,2007,1496
812,Mauritius,2007,90
813,Mexico,2007,0
814,Moldova,2007,0
815,Mongolia,2007,0
816,Montenegro,2007,0
817,Morocco,2007,0
818,Mozambique,2007,0
819,Myanmar,2007,0
820,Namibia,2007,0
821,Netherlands,2007,0
822,New Zealand,2007,0
823,Niger,2007,0
824,Nigeria,2007,0
825,North Korea,2007,0
826,North Macedonia,2007,0
827,Oman,2007,0
828,Pakistan,2007,0
829,Panama,2007,0
830,Papua New Guinea,2007,0
831,Peru,2007,0
832,Philippines,2007,0
833,Poland,2007,33
834,Portugal,2007,0
835,Reunion,2007,0
836,Romania,2007,0
837,Russia,2007,0
838,Senegal,2007,0
839,Serbia,2007,0
840,Slovakia,2007,0
841,Slovenia,2007,0
842,South Africa,2007,0
843,South Korea,2007,2086
844,Spain,2007,0
845,Sri Lanka,2007,0
846,Sudan,2007,0
847,Eswatini,2007,0
848,Sweden,2007,0
849,Syria,2007,0
850,Taiwan,2007,0
851,Tajikistan,2007,0
852,Tanzania,2007,0
853,Thailand,2007,717
854,Turkey,2007,78
855,Ukraine,2007,0
856,United Arab Emirates,2007,0
857,United Kingdom,2007,0
858,United States,2007,1514
859,Uzbekistan,2007,0
860,Venezuela,2007,0
861,Vietnam,2007,300
862,Zambia,2007,0
863,Zimbabwe,2007,0
864,Albania,2008,0
865,Argentina,2008,0
866,Australia,2008,0
867,Austria,2008,0
868,Bangladesh,2008,0
869,Belarus,2008,0
870,Belgium,2008,0
871,Bosnia and Herzegovina,2008,0
872,Botswana,2008,0
873,Brazil,2008,0
874,Brunei,2008,0
875,Bulgaria,2008,0
876,Cambodia,2008,0
877,Canada,2008,0
878,Chile,2008,0
879,China,2008,62902
880,Colombia,2008,0
881,Croatia,2008,0
882,Czech Republic,2008,0
883,Democratic Republic of Congo,2008,0
884,Denmark,2008,0
885,Dominican Republic,2008,0
886,Egypt,2008,0
887,El Salvador,2008,0
888,Ethiopia,2008,0
889,Finland,2008,0
890,France,2008,100
891,Georgia,2008,0
892,Germany,2008,0
893,Ghana,2008,0
894,Greece,2008,0
895,Guadeloupe,2008,0
896,Guatemala,2008,0
897,Guinea,2008,0
898,Honduras,2008,0
899,Hong Kong,2008,0
900,Hungary,2008,0
901,India,2008,5396
902,Indonesia,2008,367
903,Iran,2008,0
904,Ireland,2008,0
905,Israel,2008,0
906,Italy,2008,0
907,Ivory Coast,2008,0
908,Jamaica,2008,0
909,Japan,2008,564
910,Jordan,2008,0
911,Kazakhstan,2008,0
912,Kenya,2008,0
913,Kosovo,2008,0
914,Kyrgyzstan,2008,0
915,Laos,2008,0
916,Latvia,2008,0
917,Madagascar,2008,0
918,Malawi,2008,0
919,Malaysia,2008,0
920,Mauritius,2008,0
921,Mexico,2008,0
922,Moldova,2008,0
923,Mongolia,2008,0
924,Montenegro,2008,0
925,Morocco,2008,0
926,Mozambique,2008,0
927,Myanmar,2008,0
928,Namibia,2008,0
929,Netherlands,2008,0
930,New Zealand,2008,0
931,Niger,2008,0
932,Nigeria,2008,0
933,North Korea,2008,0
934,North Macedonia,2008,0
935,Oman,2008,0
936,Pakistan,2008,0
937,Panama,2008,0
938,Papua New Guinea,2008,0
939,Peru,2008,0
940,Philippines,2008,0
941,Poland,2008,474
942,Portugal,2008,0
943,Reunion,2008,0
944,Romania,2008,0
945,Russia,2008,0
946,Senegal,2008,0
947,Serbia,2008,0
948,Slovakia,2008,0
949,Slovenia,2008,0
950,South Africa,2008,0
951,South Korea,2008,1500
952,Spain,2008,0
953,Sri Lanka,2008,0
954,Sudan,2008,0
955,Eswatini,2008,0
956,Sweden,2008,0
957,Syria,2008,0
958,Taiwan,2008,0
959,Tajikistan,2008,0
960,Tanzania,2008,0
961,Thailand,2008,36
962,Turkey,2008,0
963,Ukraine,2008,0
964,United Arab Emirates,2008,0
965,United Kingdom,2008,0
966,United States,2008,1584
967,Uzbekistan,2008,0
968,Venezuela,2008,0
969,Vietnam,2008,0
970,Zambia,2008,0
971,Zimbabwe,2008,0
972,Albania,2009,0
973,Argentina,2009,0
974,Australia,2009,466
975,Austria,2009,0
976,Bangladesh,2009,0
977,Belarus,2009,0
978,Belgium,2009,0
979,Bosnia and Herzegovina,2009,0
980,Botswana,2009,0
981,Brazil,2009,0
982,Brunei,2009,0
983,Bulgaria,2009,121
984,Cambodia,2009,0
985,Canada,2009,0
986,Chile,2009,152
987,China,2009,60728
988,Colombia,2009,0
989,Croatia,2009,0
990,Czech Republic,2009,0
991,Democratic Republic of Congo,2009,0
992,Denmark,2009,0
993,Dominican Republic,2009,0
994,Egypt,2009,0
995,El Salvador,2009,0
996,Ethiopia,2009,0
997,Finland,2009,0
998,France,2009,0
999,Georgia,2009,0
1000,Germany,2009,31
1001,Ghana,2009,0
1002,Greece,2009,0
1003,Guadeloupe,2009,0
1004,Guatemala,2009,0
1005,Guinea,2009,0
1006,Honduras,2009,0
1007,Hong Kong,2009,0
1008,Hungary,2009,0
1009,India,2009,5611
1010,Indonesia,2009,351
1011,Iran,2009,0
1012,Ireland,2009,0
1013,Israel,2009,0
1014,Italy,2009,660
1015,Ivory Coast,2009,0
1016,Jamaica,2009,0
1017,Japan,2009,630
1018,Jordan,2009,0
1019,Kazakhstan,2009,0
1020,Kenya,2009,0
1021,Kosovo,2009,0
1022,Kyrgyzstan,2009,0
1023,Laos,2009,0
1024,Latvia,2009,0
1025,Madagascar,2009,0
1026,Malawi,2009,0
1027,Malaysia,2009,1775
1028,Mauritius,2009,0
1029,Mexico,2009,0
1030,Moldova,2009,0
1031,Mongolia,2009,0
1032,Montenegro,2009,0
1033,Morocco,2009,0
1034,Mozambique,2009,0
1035,Myanmar,2009,0
1036,Namibia,2009,0
1037,Netherlands,2009,0
1038,New Zealand,2009,0
1039,Niger,2009,0
1040,Nigeria,2009,0
1041,North Korea,2009,0
1042,North Macedonia,2009,0
1043,Oman,2009,0
1044,Pakistan,2009,0
1045,Panama,2009,0
1046,Papua New Guinea,2009,0
1047,Peru,2009,0
1048,Philippines,2009,0
1049,Poland,2009,560
