,country,alpha_3,year,coal_mw_new,coal_mw_retired,coal_mw_change
289,Panama,PAN,2002,0,0,0
290,Papua New Guinea,PNG,2002,0,0,0
291,Peru,PER,2002,0,0,0
292,Philippines,PHL,2002,0,0,0
293,Poland,POL,2002,346,0,346
294,Portugal,PRT,2002,0,0,0
295,Reunion,REU,2002,0,0,0
296,Romania,ROU,2002,0,0,0
297,Russia,RUS,2002,0,0,0
298,Senegal,SEN,2002,0,0,0
299,Serbia,SRB,2002,0,0,0
300,Slovakia,SVK,2002,0,0,0
301,Slovenia,SVN,2002,0,0,0
302,South Africa,ZAF,2002,0,0,0
303,South Korea,PRK,2002,500,0,500
304,Spain,ESP,2002,0,0,0
305,Sri Lanka,LKA,2002,0,0,0
306,Sudan,SDN,2002,0,0,0
307,Eswatini,SWZ,2002,0,0,0
308,Sweden,SWE,2002,0,0,0
309,Syria,SYR,2002,0,0,0
310,Taiwan,TWN,2002,3154,0,3154
311,Tajikistan,TJK,2002,0,0,0
312,Tanzania,TZA,2002,0,0,0
313,Thailand,THA,2002,0,0,0
314,Turkey,TUR,2002,0,0,0
315,Ukraine,UKR,2002,0,0,0
316,United Arab Emirates,ARE,2002,0,0,0
317,United Kingdom,GBR,2002,0,1000,-1000
318,United States,USA,2002,1105,704,401
319,Uzbekistan,UZB,2002,0,0,0
320,Venezuela,VEN,2002,0,0,0
321,Vietnam,VNM,2002,600,0,600
322,Zambia,ZMB,2002,0,0,0
323,Zimbabwe,ZWE,2002,0,0,0
324,Albania,ALB,2003,0,0,0
325,Argentina,ARG,2003,0,0,0
326,Australia,AUS,2003,885,0,885
327,Austria,AUT,2003,0,0,0
328,Bangladesh,BGD,2003,0,0,0
329,Belarus,BLR,2003,0,0,0
330,Belgium,BEL,2003,0,0,0
331,Bosnia and Herzegovina,BIH,2003,0,0,0
332,Botswana,BWA,2003,0,0,0
333,Brazil,BRA,2003,0,0,0
334,Brunei,BRN,2003,0,0,0
335,Bulgaria,BGR,2003,0,0,0
336,Cambodia,KHM,2003,0,0,0
337,Canada,CAN,2003,0,0,0
338,Chile,CHL,2003,0,0,0
339,China,CHN,2003,22731,0,22731
340,Colombia,COL,2003,0,0,0
341,Croatia,HRV,2003,0,0,0
342,Czech Republic,CZE,2003,0,0,0
343,Democratic Republic of Congo,COD,2003,0,0,0
344,Denmark,DNK,2003,0,0,0
345,Dominican Republic,DOM,2003,0,0,0
346,Egypt,EGY,2003,0,0,0
347,El Salvador,SLV,2003,0,0,0
348,Ethiopia,ETH,2003,0,0,0
349,Finland,FIN,2003,0,35,-35
350,France,FRA,2003,0,0,0
351,Georgia,GEO,2003,0,0,0
352,Germany,DEU,2003,0,421,-421
353,Ghana,GHA,2003,0,0,0
354,Greece,GRC,2003,330,0,330
355,Guadeloupe,GLP,2003,0,0,0
356,Guatemala,GTM,2003,0,0,0
357,Guinea,GIN,2003,0,0,0
358,Honduras,HND,2003,0,0,0
359,Hong Kong,HKG,2003,0,0,0
360,Hungary,HUN,2003,0,0,0
361,India,IND,2003,1735,150,1585
362,Indonesia,IDN,2003,0,0,0
363,Iran,IRN,2003,0,0,0
364,Ireland,IRL,2003,0,0,0
365,Israel,ISR,2003,0,0,0
366,Italy,ITA,2003,0,0,0
367,Ivory Coast,CIV,2003,0,0,0
368,Jamaica,JAM,2003,0,0,0
369,Japan,JPN,2003,2388,0,2388
370,Jordan,JOR,2003,0,0,0
371,Kazakhstan,KAZ,2003,0,0,0
372,Kenya,KEN,2003,0,0,0
373,Kosovo,,2003,0,0,0
374,Kyrgyzstan,KGZ,2003,0,0,0
375,Laos,LAO,2003,0,0,0
376,Latvia,LVA,2003,0,0,0
377,Madagascar,MDG,2003,0,0,0
378,Malawi,MWI,2003,0,0,0
379,Malaysia,MYS,2003,1400,0,1400
380,Mauritius,MUS,2003,0,0,0
381,Mexico,MEX,2003,0,0,0
382,Moldova,MDA,2003,0,0,0
383,Mongolia,MNG,2003,0,0,0
384,Montenegro,MNE,2003,0,0,0
385,Morocco,MAR,2003,0,0,0
386,Mozambique,MOZ,2003,0,0,0
387,Myanmar,MMR,2003,0,0,0
388,Namibia,NAM,2003,0,0,0
389,Netherlands,NLD,2003,0,0,0
390,New Zealand,NZL,2003,0,0,0
391,Niger,NER,2003,0,0,0
392,Nigeria,NGA,2003,0,0,0
393,North Korea,KOR,2003,0,0,0
394,North Macedonia,MKD,2003,0,0,0
395,Oman,OMN,2003,0,0,0
396,Pakistan,PAK,2003,0,0,0
397,Panama,PAN,2003,0,0,0
398,Papua New Guinea,PNG,2003,0,0,0
399,Peru,PER,2003,0,0,0
400,Philippines,PHL,2003,0,0,0
401,Poland,POL,2003,323,200,123
402,Portugal,PRT,2003,0,0,0
403,Reunion,REU,2003,0,0,0
404,Romania,ROU,2003,0,0,0
405,Russia,RUS,2003,228,0,228
406,Senegal,SEN,2003,0,0,0
407,Serbia,SRB,2003,0,0,0
408,Slovakia,SVK,2003,0,0,0
409,Slovenia,SVN,2003,0,0,0
410,South Africa,ZAF,2003,0,0,0
411,South Korea,PRK,2003,0,0,0
412,Spain,ESP,2003,0,0,0
413,Sri Lanka,LKA,2003,0,0,0
414,Sudan,SDN,2003,0,0,0
415,Eswatini,SWZ,2003,0,0,0
416,Sweden,SWE,2003,0,0,0
417,Syria,SYR,2003,0,0,0
418,Taiwan,TWN,2003,0,0,0
419,Tajikistan,TJK,2003,0,0,0
420,Tanzania,TZA,2003,0,0,0
421,Thailand,THA,2003,0,0,0
422,Turkey,TUR,2003,1720,0,1720
423,Ukraine,UKR,2003,0,0,0
